Year,Quarter,Beef Imports from US,Q1,Q2,Q3,Ont.-US Retail Beef Price Spread ($/lbs.),Unit Value ROW Imports ($/lbs.),Ont. Diesel Price ($/ltr.),D2004Q1,D200405,Beef Imports from US (t-1)
2006,3,45217737.93,0,0,1,0.595,1.584310592,0.96,0,0,43662492.66
2006,2,43662492.66,0,1,0,0.482,1.469384601,0.95,0,0,30159182.64
2006,1,30159182.64,1,0,0,0.245,1.512953629,0.952,0,0,33264456.08
2005,4,33264456.08,0,0,0,0.113,1.535176007,0.942,0,0,21125681.69
2005,3,21125681.69,0,0,1,0.011,1.497011828,0.941,0,0,16370639.27
2005,2,16370639.27,0,1,0,-0.424,1.448068129,0.965,0,1,15587813.8
2005,1,15587813.8,1,0,0,-0.231,1.653326829,0.99,0,1,18531823.47
2004,4,18531823.47,0,0,0,-0.287,1.687175438,1.002,0,1,11792803.14
2004,3,11792803.14,0,0,1,-0.681,1.767171777,1.02,0,1,8211120.894
2004,2,8211120.894,0,1,0,-1.028,1.380364185,1.088,0,1,1639660.883
2004,1,1639660.883,1,0,0,-0.854,1.578999244,1.086,1,0,30492764.99
2003,4,30492764.99,0,0,0,-1.289,1.705875997,1.113,0,0,33498124.16
2003,3,33498124.16,0,0,1,-0.982,1.322549673,1.132,0,0,48109970.48
2003,2,48109970.48,0,1,0,-0.578,1.429141909,1.152,0,0,44057228.74
2003,1,44057228.74,1,0,0,-0.757,1.331066077,1.062,0,0,47726626.13
2002,4,47726626.13,0,0,0,-0.977,1.335723219,1.129,0,0,37882506.74
2002,3,37882506.74,0,0,1,-0.926,1.3814828,1.142,0,0,39904513.67
2002,2,39904513.67,0,1,0,-0.932,1.501501944,1.173,0,0,44057228.74
2002,1,44057228.74,1,0,0,-1.254,1.436911627,1.192,0,0,47157329.23
2001,4,47157329.23,0,0,0,-1.385,1.501451806,1.233,0,0,38958206.45
2001,3,38958206.45,0,0,1,-1.425,1.368066488,1.141,0,0,40710638.32
2001,2,40710638.32,0,1,0,-1.351,1.342651426,1.14,0,0,40386252.49
2001,1,40386252.49,1,0,0,-1.352,1.3831733,1.157,0,0,44057228.74
2000,4,44057228.74,0,0,0,-1.409,1.33817204,1.093,0,0,39231870.6
2000,3,39231870.6,0,0,1,-1.228,1.391920688,1.121,0,0,38686451.26
2000,2,38686451.26,0,1,0,-1.355,1.358459565,1.193,0,0,41992433.28
2000,1,41992433.28,1,0,0,-1.227,1.366634196,1.184,0,0,45947040.6
1999,4,45947040.6,0,0,0,-1.452,1.44214426,1.203,0,0,37731279.37
1999,3,37731279.37,0,0,1,-1.369,1.480230406,1.253,0,0,38958206.45
1999,2,38958206.45,0,1,0,-1.266,1.424157903,1.369,0,0,41491535.48
1999,1,41491535.48,1,0,0,-1.394,1.398662413,1.545,0,0,45127392.83
1998,4,45127392.83,0,0,0,-1.543,1.49697292,1.484,0,0,41866644.76
1998,3,41866644.76,0,0,1,-1.421,1.466678042,1.603,0,0,41741233.03
1998,2,41741233.03,0,1,0,-1.212,1.368623214,1.547,0,0,39310412.86
1998,1,39310412.86,1,0,0,-1.1,1.467101643,1.36,0,0,41574601.59
1997,4,41574601.59,0,0,0,-1.199,1.480037962,1.311,0,0,47631268.27
1997,3,47631268.27,0,0,1,-1.136,1.397663501,1.37,0,0,41078687.8
1997,2,41078687.8,0,1,0,-1.138,1.3950097,1.35,0,0,39467969.41
1997,1,39467969.41,1,0,0,-1.11,1.34590093,1.236,0,0,40873806.99
1996,4,40873806.99,0,0,0,-1.174,1.297029788,1.169,0,0,41243331.62
1996,3,41243331.62,0,0,1,-1.215,1.310844325,1.29,0,0,47016069.24
1996,2,47016069.24,0,1,0,-1.07,1.334312002,1.255,0,0,41119787.04
1996,1,41119787.04,1,0,0,-1.083,1.523954224,1.236,0,0,48254517.1
1995,4,48254517.1,0,0,0,-1.123,1.481869974,1.329,0,0,48302795.75
1995,3,48302795.75,0,0,1,-1.068,1.426254571,1.376,0,0,44278066.52
